epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,10012.7,1.03723,0.81442,1.43363,0.80131,0.77245,0.81006,0.52145,1.28295,0.94608,1.79324,0.00058175,0.00058175,0.00058175
56,10199.8,1.01956,0.80203,1.41054,0.83156,0.78672,0.81191,0.55356,1.1979,0.8651,1.72884,0.000569375,0.000569375,0.000569375
57,10367.9,0.99016,0.77449,1.39075,0.78632,0.81845,0.76583,0.54883,1.08147,0.93606,1.67395,0.000557,0.000557,0.000557
58,10537.7,0.97813,0.76252,1.37175,0.72922,0.72209,0.73885,0.51952,1.11623,0.98093,1.6971,0.000544625,0.000544625,0.000544625
59,10719.6,0.98724,0.74823,1.3756,0.76736,0.80072,0.81451,0.56215,1.10482,0.90256,1.64219,0.00053225,0.00053225,0.00053225
60,10896.4,0.96268,0.74796,1.36563,0.82883,0.76964,0.83888,0.58939,1.06655,0.91058,1.64403,0.000519875,0.000519875,0.000519875
61,11071.8,0.96454,0.72915,1.36399,0.84465,0.79099,0.82995,0.56824,1.09956,0.84556,1.65049,0.0005075,0.0005075,0.0005075
62,11241.6,0.95982,0.73115,1.35663,0.83812,0.78943,0.79983,0.55656,1.08647,0.93113,1.66828,0.000495125,0.000495125,0.000495125
63,11429.8,0.97048,0.75236,1.36588,0.75281,0.77971,0.74922,0.53633,1.07427,1.02515,1.6479,0.00048275,0.00048275,0.00048275
64,11602.6,0.96713,0.72856,1.36348,0.79571,0.73172,0.79274,0.5556,1.12982,1.00409,1.72266,0.000470375,0.000470375,0.000470375
65,11779.3,0.98071,0.7414,1.3811,0.7874,0.72845,0.7895,0.55161,1.13217,0.91803,1.70657,0.000458,0.000458,0.000458
66,11958.1,0.94175,0.71154,1.34513,0.79567,0.77241,0.82189,0.57044,1.08814,0.93391,1.67482,0.000445625,0.000445625,0.000445625
67,12142,0.9288,0.69808,1.34287,0.84906,0.7403,0.80964,0.55975,1.13093,0.92017,1.69163,0.00043325,0.00043325,0.00043325
68,12330.5,0.92675,0.70982,1.34015,0.80585,0.7541,0.78669,0.5787,1.06242,0.90942,1.6304,0.000420875,0.000420875,0.000420875
69,12517.4,0.91439,0.70547,1.32866,0.81902,0.83768,0.84358,0.6115,1.00888,0.78698,1.63071,0.0004085,0.0004085,0.0004085
70,12691.7,0.9372,0.71811,1.34906,0.85836,0.7704,0.82643,0.59176,1.09212,0.8317,1.66804,0.000396125,0.000396125,0.000396125
71,12895.3,0.92438,0.68338,1.34558,0.82526,0.75569,0.81052,0.56355,1.18369,0.93382,1.76458,0.00038375,0.00038375,0.00038375
72,13074.1,0.91461,0.66613,1.32929,0.74277,0.83584,0.80601,0.58412,1.09201,0.92964,1.67783,0.000371375,0.000371375,0.000371375
73,13254.7,0.91695,0.68011,1.34131,0.82377,0.74392,0.78278,0.54949,1.11665,0.93873,1.75693,0.000359,0.000359,0.000359
74,13433.9,0.91352,0.67073,1.32997,0.79354,0.76353,0.7948,0.55934,1.1082,0.88555,1.67783,0.000346625,0.000346625,0.000346625
75,13613.6,0.88147,0.6499,1.31052,0.82111,0.75495,0.80543,0.58754,1.06708,0.8636,1.66079,0.00033425,0.00033425,0.00033425
76,13783.1,0.90988,0.67779,1.32654,0.80763,0.7794,0.80487,0.56581,1.16458,0.85515,1.71806,0.000321875,0.000321875,0.000321875
